683         0.85    90.78
684         0.87    91.19
685         0.90    91.51
686         0.91    91.09
687         0.98    91.22
688         0.97    88.75
689         0.94    87.99
690         0.86    86.95
691         0.89    91.24
692         0.99    92.09
693         0.83    89.81
694         0.81    90.81
695         0.86    90.54
696         0.88    89.42
697         0.88    89.39
698         1.01    89.90
699         0.97    88.95
700         1.04    90.66
701         0.89    89.65
702         0.87    91.93
703         0.90    92.97
704         0.91    90.40
705         0.89    88.81
706         0.85    92.33
707         0.74    89.70
708         0.83    85.73
709         0.91    91.27
710         0.83    90.42
711         0.92    88.36
712         1.00    92.40
713         0.77    88.52
714         0.83    91.80
715         1.06    89.62
716         1.03    88.29
717         0.77    89.60
718         0.79    86.89
719         0.89    90.85
720         1.08    91.26
721         0.86    90.30
722         1.05    88.81
723         0.89    87.84
724         0.93    92.96
725         0.81    92.23
726         0.91    87.54
727         0.81    90.01
728         1.01    88.33
729         0.90    90.56
730         0.92    89.33
731         0.74    90.77
732         0.91    89.33
733         0.91    90.10
734         1.04    91.23
735         0.96    88.42
736         1.05    88.38
737         0.85    87.79
738         0.90    90.51
739         0.86    90.20
740         0.89    89.37
741         0.91    89.18
742         0.91    91.11
743         0.77    89.15
744         0.95    90.25
745         0.85    90.11
746         0.79    88.74
747         0.86    89.72
748         0.92    89.29
749         0.86    87.40
750         0.94    89.94
751         0.73    88.79
752         0.99    92.09
753         0.97    88.60
754         1.00    88.98
755         1.01    90.44
756         0.83    92.60
757         0.91    87.66
758         1.03    89.54
759         0.94    92.32
760         1.02    89.37
761         0.83    88.23
762         0.94    89.08
763         0.85    89.44
764         0.94    89.67
765         0.81    90.61
766         0.83    90.26
767         0.86    90.42
768         0.91    89.75
769         0.91    92.25
770         0.88    87.85
771         0.85    86.08
772         0.93    87.72
773         0.91    90.52
774         0.77    89.68
775         0.82    92.86
776         0.78    89.73
777         0.76    90.50
778         0.99    94.11
779         0.92    86.78
780         0.85    88.73
781         0.80    88.92
782         0.73    88.87
783         0.84    89.59
784         0.85    87.96
785         0.92    93.72
786         1.02    88.82
787         1.00    89.05
788         0.77    87.30
789         1.10    91.02
790         0.77    90.73
791         0.82    91.05
792         0.90    88.08
793         0.79    90.59
794         0.92    90.04
795         1.00    91.20
796         0.88    90.03
797         0.94    90.56
798         1.04    88.69
799         0.98    91.24
800         0.94    90.85
801         0.96    90.87
802         0.94    91.18
803         0.92    89.84
804         0.94    86.47
805         0.82    91.27
806         0.96    87.59
807         0.98    86.69
808         0.91    89.56
809         0.76    90.12
810         0.96    90.64
811         0.91    93.23
812         0.97    90.99
813         0.91    90.61
814         0.88    88.85
815         0.84    90.21
816         0.79    90.00
817         0.95    88.32
818         0.84    87.71
819         0.80    88.57
820         0.82    89.02
821         0.91    89.69
822         0.97    92.26
823         0.72    89.57
824         0.90    90.83
825         0.92    87.69
826         1.02    88.93
827         0.82    89.25
828         0.89    88.86
829         0.76    91.24
830         0.87    88.28
831         0.79    89.84
832         0.72    88.22
833         0.98    89.10
834         1.01    89.35
835         0.88    90.56
836         0.91    93.53
837         0.81    89.05
838         0.96    88.36
839         0.91    91.16
840         1.02    91.82
841         0.95    92.34
842         1.03    91.23
843         0.91    89.71
844         0.74    92.01
845         0.97    90.15
846         0.91    88.44
847         0.90    92.73
848         0.80    89.53
849         0.91    89.68
850         0.90    90.57
851         0.91    91.24
852         0.76    87.82
853         0.84    89.76
854         0.86    90.34
855         1.04    88.84
856         0.88    90.49
857         0.82    89.00
858         0.92    90.95
859         0.93    89.41
860         0.92    91.16
861         0.88    90.45
862         0.86    89.18
863         0.89    90.80
864         0.90    91.33
865         0.92    88.52
866         0.96    88.50
867         0.95    89.46
868         1.03    90.99
869         0.88    89.53
870         0.74    90.84
871         0.89    90.81
872         0.95    91.67
873         0.72    91.53
874         0.98    89.15
875         0.97    88.29
876         0.91    88.27
877         0.90    90.02
878         0.89    90.65
879         0.73    89.41
880         0.92    90.33
881         0.94    88.61
882         0.84    89.58
883         1.01    90.41
884         0.96    87.10
885         0.81    85.58
